小節(onset),拍數(onset) : 4/4,小節(offset),拍數(offset) : 4/4,時值(offset) : 4/4,樂句種類,備註
1,0,2,2,1,sp,
3,0,5,1,1,sp,
5,3,7,3.5,0.5,p,
8,0,9,2,1,sp,
10,0,12,1,1,sp,
12,2.5,14,2,1,sp,
15,0,17,3,1,sp,
18,0,21,0,1,p,
21,0,22,2,1,sp,
23,0,24,2,1,sp,
25,0,26,2,1,sp,
27,0,28,2,2,sp,
29,0,32,2,1,p,
35,0,38,2.25,0.5,sp,
39,0,42,2.25,0.75,p,
43,0,45,3,0.5,sp,
46,0,49,3,1,sp,
50,0,54,0,1,p,tr
54,2.5,56,0,0.5,sp,
56,1,58,2,1,p,
59,0,60,2,1,sp,
61,0,62,2,1,sp,
63,1,64,2,1,sp,
65,0.75,66,2,1,sp,
67,0,68,2,1,sp,
69,0.75,70,2,1,sp,
71,0.5,72,2,1,p,
73,0,74,2,1,sp,
75,0,76,2,1,sp,
77,0,78,2,1,sp,
79,0.5,82,0,1,sp,
82,1.5,85,3.75,0.25,p,
86,0,87,2,1,sp,
88,0,89,2,1,sp,
90,0,91,2,1,sp,
92,0,93,2,1,p,
94,0,95,2,1,sp,
96,0,100,3.5,0.5,p,
101,0,102,2,1,sp,這邊標記譜上多算一小節
103,0,104,1,1,sp,
104,2.5,106,1,1,sp,
106,2.5,109,3.5,0.5,sp,
110,0,112,3,1,sp,
113,0,116,0,1,p,
116,1.5,117,2,1,sp,
118,0,119,2,1,sp,
120,0,121,2,1,sp,
122,0,126,2,1,p,
129,0,132,2.25,0.5,sp,
133,0,136,2.25,0.75,p,
137,0,139,3,0.5,sp,
140,0,143,3,1,sp,
144,0,148,0,1,p,
148,1.5,151,3.75,0.25,sp,
152,0,155,2,1,p,
