小節(onset),拍數(onset) : 4/4,小節(offset),拍數(offset) : 4/4,時值(offset) : 4/4,樂句種類,備註
1,0,4,2,1,sp,tr
5,0,8,2,0.5,p,
8,2.5,12,0,1.5,sp,
12,1.5,15,0,1,p,
15,1,17,0,1,sp,
17,1,20,0,1,p,
20,2.5,22,1,1,sp,
22,2.5,24,1,1,sp,
24,2.5,28,3.5,0.5,p,
29,0,30,1,1,sp,
30,2.5,32,1,1,p,
32,2.5,35,3.5,0.5,sp,
36,0,39,3,1,sp,
40,0,42,3,1,p,
43,0,45,3,1,sp,
46,0,48,3,1,p,
49,0,52,2,1,p,
53,0,55,3,1,sp,
56,0,59,0,1,sp,
59,1.5,61,0,1,sp,
61,1.5,63,0,1,sp,
64,0,66,3.5,0.5,p,
67,0,70,2,1,sp,
71,0,74,3.5,0.5,p,
75,0,76,3,1,sp,
77,0,78,3,1,sp,
79,0,82,0,1,p,
82,1,84,0,1,sp,
84,1,87,0,1,p,
87,2.5,89,1,1,sp,
89,2.5,91,1,1,sp,
91,2.5,95,3.5,0.5,p,
96,0,97,1,1,sp,
97,2.5,99,1,1,sp,
99,2.5,102,3.5,0.5,p,
103,0,104,3,1,sp,裝飾音
105,0,106,3,1,sp,
107,0,109,3,1,p,
110,0,112,3,1,sp,
113,0,115,3,1,p,
116,0,118,0,1,sp,
118,1,120,0,1,sp,
120,1,122,0,1,p,
